standing 	is 
on tree branches 	on tree branches 
A cat 	A black and white cat 
A large boat 	A large boat 
in the water 	on the sea 
A passenger train 	A passenger train 
waiting 	sits 
in a station 	in the station 
on the floor 	on the floor 
sitting 	sitting 
An Apple computer 	A Macintosh computer 
A jockey 	A jockey 
a horse 	a horse 
riding 	riding 
A woman 	A young girl 
a brown horse 	a brown horse 
riding 	riding 
sleeps 	asleep 
A man 	A man 
with a baby 	holding a baby 
in front of yellow flowers 	in a field 
standing 	standing 
A black dog 	A black dog 
in afield 	in a field 
standing 	grazing 
sheep 	A sheep 
standing 	stands 
A dark brown horse 	A brown horse 
in a field 	in a lush green field 
with food 	with food and beer 
of people 	of people 
around a table 	around a table 
A group 	A group 
sitting 	sit 
A brown horse 	A brown horse 
in a lush green field 	in a green field 
with two cats 	with two cats 
at her feet 	at her feet 
in a kitchen 	in the kitchen 
stands 	is standing 
An elderly woman 	The old lady 
Red double decker bus 	Double decker passenger bus 
through the streets 	with traffic 
driving 	driving 
in a cluttered room 	in a cluttered room 
sitting 	lies 
A man 	A man 
walking 	walking 
under trees 	under the tree 
Black cow 	Cow 
in pasture 	in a pasture 
A smiling woman 	Two women 
with another smiling woman 	laughing 
sitting 	sitting 
outside 	outside 
with a big necklace 	with a black top and a necklace 
a woman 	A young woman 
in grass 	in a grassy area 
standing 	standing 
Brown and white cow 	A brown and white cow 
a horse 	a horse 
riding 	rides 
A jockey 	A jockey 
rides 	rides 
A person 	A person 
a bike 	a bike 
a helmet 	a bike helmet 
wearing 	wearing 
of horses 	of horses 
grazing 	grazing 
Group 	A group 
in grassy field 	in a field 
a helmet 	a bike helmet 
A young blonde girl 	A young girl 
behind her 	in the background 
with a red bicycle 	with a bicycle 
wearing 	wearing 
A striped cat 	Domestic cat 
laying down 	laying 
of cat litter 	of cat litter 
Five birds 	Several cardinals 
on the snow 	in the snow 
stand 	stand 
posing 	is standing 
by a pillar 	by a pillar 
A woman 	a woman 
with a U2 sign 	where `` u2 '' is written 
A red moped 	The red scooter 
parked 	is sitting 
on a sidewalk 	on the street 
in front of graffiti 	in front of the building 
on couch 	on a couch 
Two dogs and one cat 	Two dogs and a cat 
sitting 	resting 
with their thumbs up 	the thumbs up sign 
One Asian and one occasion woman 	Two women 
smiling 	are posing 
in front of an alpine lake 	next to a mountain , and a body 
grazing 	grazing 
Two mountain goats 	Two animals 
in a station 	at the city train station 
waiting 	waiting 
A passenger train 	A passenger train 
A bicycle 	A bicycle 
is parked 	is parked 
by a shop 	outside a bookstore 
in a black leather chair 	on a leather chair 
A orange and white cat 	A ginger and white cat 
laying 	asleep 
on train tracks 	on the train tracks 
Black train 	A train 
on a black couch 	on couch 
Young couple 	Young couple 
sitting 	sitting 
on a couch 	on couch 
A couple 	Young couple 
posing 	sitting 
Red double decker bus 	Red double decker bus 
A group 	A group 
sitting 	sitting 
at a restaurant table 	around a table 
of people 	of people 
napping 	sleeping 
under a small table 	under a table 
a dog 	A dog 
on water 	on the water 
A boat 	Sail boat 
is sailing 	sailing 
a small baby 	a baby 
holding 	holding 
A smiling woman 	Two smiling women 
Red double decker bus 	A red double decker bus 
of street 	on a city street 
the window 	of a window 
looking out 	looking out 
Gray cat 	A cat 
on the tracks 	on the train track 
sitting 	are sitting 
Two green and white trains 	Two green and white trains 
the camera 	the camera 
A cat 	A gray , black , and white cat 
looking at 	looking at 
A gray cat 	A gray cat 
on a wooden table 	on a dining table 
lying 	laying 
in a chair 	on chair 
with a baby 	with infant 
A father 	Man 
napping 	sleeping 
on tree branch 	on a tree branch 
perched 	perched 
Green and white bird 	Bird 
A red and white plane 	Red and white plane 
flying 	flying 
with a viking hat 	a viking hat 
a woman 	Smiling woman 
on 	wearing 
standing 	stands 
underneath a chair 	on the floor 
A small white cat 	A white cat 
at a table 	around a table 
of people 	of elderly people 
A group 	Group 
eat 	sitting 
standing 	stands 
A bull 	A brown horse 
in the field 	in a lush green field 
jumping 	playing 
at a table 	around a dining table 
A group 	A group 
of people 	of elderly people 
are looking at 	looking out 
Two cats 	A white cat 
a window 	of a window 
in the background 	in the background 
with a horse 	with other lambs 
perched 	is perched 
A small red and gray bird 	A red and brown bird 
amongst the bare branches 	on branches 
on a rural road 	along a dirt road 
is driving 	driving 
Three young women 	Two Indian women 
in a field 	in a field 
of sheep 	of horses 
A group 	A group 
in a green pasture 	in the pasture 
Two white cows 	The tan horse 
at a table 	at a table 
Two people 	four people 
sitting 	sitting 
A women 	A man and two women 
sitting 	sitting 
on a sofa 	on a blue sofa 
Black and white cat 	The black and white cat 
lying 	lounges 
under bush 	in the dirt 
at the camera 	at the camera 
is looking 	looking 
The lamb 	A cat 
A black and white photo 	A black and white photo 
A black and white cat 	Black and white lamb 
posing 	are posing 
for the camera 	for the camera 
A man and small child 	A man and woman 
A black vehicle 	A black car 
parked 	parked 
The black and white bull 	A black and white dog 
at the camera 	at the camera 
is looking 	looking 
in the background 	in the background 
of sheep 	A white cat 
beside the road 	in the field 
are grazing 	grazing 
Five cows 	Several sheep 
in a living room 	in a dining room 
A silver bicycle 	A bicycle 
sleeping 	sitting 
on the sofa 	on a green couch 
The men 	a young boy 
sits 	relaxes 
A brown and white dog 	A small orange and white dog 
on a floral-patterned chair 	on a flower print pillow 
looking 	looking 
Two sheep 	Two sheep 
at the camera 	at the camera 
in a field 	in a field 
in the background 	in the background 
laying 	lying 
at the camera 	at the camera 
A cat 	A tan dog 
looking 	looking up 
on a red cushion 	on a moggie bed 
a boat 	on a boat 
near the shore 	on green water 
Four people 	four people 
are rowing 	are 
in the sky 	in the sky 
Two airplanes 	A plane 
in front of the laundry room 	with tan walls and a washer and dryer 
on the porch 	on acouch 
People 	People 
sitting 	sitting 
sitting 	riding 
A man 	A man 
near two tiny animals 	near her children 
stands 	standing 
A lamb 	A sheep 
on a grassy field 	on a green hill 
Tan cow 	Many sheep 
in front of some ruins 	in front of a building 
A bicycle 	A pink bicycle 
of black faced sheep 	A black faced sheep 
walking 	flying 
standing 	standing 
in a grassy field 	in a grassy field 
A black and white cow 	A blue jay 
sitting 	sitting 
A young woman 	Two young kids 
dressed 	dressed up 
on side 	on a crowded street 
Red double decker bus 	A red double decker bus 
A bus 	A green bus 
drives down 	drives down 
a busy road 	a road 
A young woman 	A women 
is wearing 	wearing 
a bikini top and jeans 	a bikini top and jeans 
A yellow and blue airplane 	The white airplane 
is flying 	is flying 
in the sky 	in the blue sky 
near the water 	on a beach 
with two Indian girls 	with two Indian girls 
Two Indian women 	Two Indian woman 
A living room 	A living room 
in the background 	in the background 
with a dining table 	with large sofas and a dining table 
with trees 	with trees 
paddling 	padding 
Two people 	Two people 
in the background 	in the background 
in a red canoe 	in a yellow canoe 
at sunset 	near the sunset 
Plane 	A plane 
in mid-flight 	flying 
to the side 	to the side 
A yellow parrot 	A yellow and orange bird 
of its cage 	of a cage 
clings 	hold on 
sailing 	sailing 
in a small sailboat 	in a small sailboat 
Couple 	Two men 
Red double decker bus 	A red , double-decker bus 
A close-up 	Close up image 
with its tongue 	with it 's tongue 
hanging out 	hanging out 
of a sheep 	of a sheep 
sitting 	perched 
on a branch 	on an icy branch 
a small bird 	A small bird 
stand 	walking 
A brown duck and white duck 	Brown and white ducks 
on the grass 	on green grass 
Cows 	Five cows 
grazing 	grazing 
in a snow covered field 	in a snow covered field 
with blue shirt 	in a blue shirt and tan pants 
in front of a fountain 	in front of a statue 
standing 	is standing 
Man 	A man 
on the floor 	on on the floor 
Several televisions 	Three televisions 
in front of a bookcase 	in front of book shelves 
A clear plastic chair 	a clear plastic chair 
stands 	standing 
A sheep 	A large sheep 
on a hillside 	on a hill 
Blue and red plane 	a blue and red airplane 
in mid-air flight 	while in flight 
on the floor 	on the floor 
A flat screen TV 	A flat-screen TV 
with several computer monitors 	with four computer monitors 
Room 	A room 
of a stop sign 	of a sign 
on it 	on 
the back 	The back 
with many stickers 	with stickers 
Living room or den 	Living room 
with large screen television 	with tan furniture and flat screen television 
driving down 	driving down 
A doubly decker red bus 	A red double decker bus 
the road 	a street 
for camera 	for the camera 
stand 	are posing 
A man and woman 	A man and woman 
A white bird 	Large white bird 
with long orange legs 	with long orange beak 
by a lake 	on the shoreline 
standing 	standing 
driving 	is riding 
through a snow covered city 	in the snow 
A red train 	The train 
on the runway 	on a runway 
sits 	parked 
A Das Air Cargo plane 	A passenger plane 
on purple sheet 	on a purple blanket 
A cat 	A black and white cat 
sleeps 	sleeps 
an England street 	the street 
A red and white bus 	A red and white England bus 
drives down 	drives down 
a jockey 	A jockey 
riding 	riding 
a horse 	a horse 
A kitchen 	A kitchen 
with wood cabinets and dining table 	with wooden cabinets and furniture 
of a cityscape 	of a city 
with a graffiti scene 	by a mural 
A motorcycles 	A motorcycle 
is parked 	is parked 
in the water 	in the water 
A bird 	A large black bird 
in a fenced area 	in a gated yard 
pets 	pets 
a dog 	a dog 
A woman 	A woman 
reclines 	sitting 
on an office chair 	on an office chair 
A cat 	A ginger cat 
sits 	is 
at the train station 	at the station 
The train 	The blue train 
of horses 	of horses 
A group 	Group 
grazing 	grazing 
in a field 	in grassy field 
on an icy branch 	on a branch 
A small bird 	A yellow bird 
perched 	perched 
Boy 	A boy 
typing 	looking 
on a computer 	at a computer screen 
their tires 	tires 
spins 	spinning 
A red truck 	Red truck 
Four blue and yellow planes 	Four blue and yellow planes 
flying 	in flight 
A train 	A train 
is 	parked 
at a train station 	at a train station 
through water 	towards a the shore 
in yellow canoe 	a yellow canoe 
Man 	Man 
paddling 	paddling 
on the floor 	on the floor 
Beer bottles -LRB- -LRB- Harp Lager -RRB- -RRB- 	A row 
giving 	giving 
the thumbs up sign 	the thumbs up sign 
Two women 	Two smiling young women 
on a city street 	the road 
A double decker red United bus 	A doubly decker red bus 
at table 	at a table 
of restaurant 	at a restaurant 
Group 	Two people 
sitting 	sitting 
drinking 	are drinking 
Two dairy cows 	Two cows 
from a pond 	from a pond 
in an urban setting 	in a fenced area 
ride 	riding 
People 	People 
standing 	talking 
Two women 	Two men 
in front of tour bus 	in front of a plane 
Large silver locomotive engine 	The silver train 
in a shed 	in a station 
is parked 	stand 
outside a bookstore 	outside a bookstore 
standing 	standing 
in background 	in the background 
is eating 	eating 
fruit 	fruit 
on a wire grate 	on a bird feeder 
A yellow bird 	A yellow bird 
on the tracks 	down the tracks 
sitting 	traveling 
A train 	A train 
sits 	standing 
A man 	A woman 
a white horse 	a brown horse 
riding 	riding 
is standing 	hold on 
riding 	riding 
a brown horse 	a brown horse 
A girl 	The jockey 
A man 	The man 
sitting 	is standing 
on the grass 	on the sidewalk 
standing 	standing 
A white cat 	A sheep 
on a street 	on the street 
A passenger jet 	A large passenger jet 
on a runway 	close to the ground 
sits 	flying 
on a table 	at a table 
sitting 	sitting 
A white cat 	A pretty white striped cat 
on a carpet 	the table 
in front of an apartment building 	in front of building 
on the ground 	under a tree 
The black bird 	with a cow 
of a cat 	of a horse 
A close-up 	A close-up 
are swimming 	fly 
